timestamp,gpu_util_pct,mem_used_mb,mem_total_mb,temp_c,power_w
2026/04/22 03:10:51.752, 0, 1, 24576, 58, 149.71
2026/04/22 03:10:52.756, 0, 1, 24576, 58, 149.71
2026/04/22 03:10:53.756, 0, 4, 24576, 53, 111.82
2026/04/22 03:10:54.757, 0, 13658, 24576, 52, 79.96
2026/04/22 03:10:55.757, 93, 13658, 24576, 56, 121.49
2026/04/22 03:10:56.757, 91, 21022, 24576, 56, 150.37
2026/04/22 03:10:57.758, 95, 21022, 24576, 67, 317.60
2026/04/22 03:10:58.758, 90, 21022, 24576, 70, 343.94
2026/04/22 03:10:59.758, 100, 21022, 24576, 70, 347.49
2026/04/22 03:11:00.758, 100, 21022, 24576, 71, 344.97
2026/04/22 03:11:01.759, 100, 21022, 24576, 71, 344.04
2026/04/22 03:11:02.759, 75, 21022, 24576, 72, 347.27
2026/04/22 03:11:03.759, 100, 21022, 24576, 70, 334.76
2026/04/22 03:11:04.759, 100, 21022, 24576, 72, 336.06
2026/04/22 03:11:05.760, 100, 21022, 24576, 70, 332.69
2026/04/22 03:11:06.760, 100, 21022, 24576, 72, 337.63
2026/04/22 03:11:07.760, 62, 21022, 24576, 72, 335.79
2026/04/22 03:11:08.760, 100, 21022, 24576, 72, 336.11
2026/04/22 03:11:09.760, 100, 21022, 24576, 73, 337.25
2026/04/22 03:11:10.761, 100, 21022, 24576, 69, 330.98
2026/04/22 03:11:11.761, 63, 21022, 24576, 73, 328.89
2026/04/22 03:11:12.761, 100, 21022, 24576, 73, 339.52
2026/04/22 03:11:13.761, 100, 21022, 24576, 73, 338.75
2026/04/22 03:11:14.762, 78, 21022, 24576, 71, 325.80
2026/04/22 03:11:15.762, 44, 21022, 24576, 73, 328.90
2026/04/22 03:11:16.762, 91, 21022, 24576, 73, 330.62
2026/04/22 03:11:17.762, 100, 21022, 24576, 73, 338.39
2026/04/22 03:11:18.763, 100, 21028, 24576, 72, 338.08
2026/04/22 03:11:19.763, 62, 21028, 24576, 70, 308.08
2026/04/22 03:11:20.764, 61, 21028, 24576, 70, 309.64
2026/04/22 03:11:21.764, 65, 21028, 24576, 69, 310.39
2026/04/22 03:11:22.764, 65, 21028, 24576, 70, 307.47
2026/04/22 03:11:23.764, 62, 21028, 24576, 69, 308.36
2026/04/22 03:11:24.766, 62, 21028, 24576, 70, 309.31
2026/04/22 03:11:25.766, 62, 21028, 24576, 69, 306.29
2026/04/22 03:11:26.767, 62, 21028, 24576, 69, 307.96
2026/04/22 03:11:27.768, 62, 21028, 24576, 69, 307.63
2026/04/22 03:11:28.768, 65, 21028, 24576, 69, 313.65
2026/04/22 03:11:29.768, 65, 21028, 24576, 69, 310.50
2026/04/22 03:11:30.768, 64, 21028, 24576, 70, 308.67
2026/04/22 03:11:31.768, 62, 21028, 24576, 69, 306.40
2026/04/22 03:11:32.769, 61, 21028, 24576, 70, 308.45
2026/04/22 03:11:33.770, 62, 21028, 24576, 69, 311.74
2026/04/22 03:11:34.771, 61, 21028, 24576, 68, 313.10
2026/04/22 03:11:35.772, 62, 21028, 24576, 69, 309.08
2026/04/22 03:11:36.773, 65, 21028, 24576, 68, 312.83
2026/04/22 03:11:37.773, 65, 21028, 24576, 69, 309.96
2026/04/22 03:11:38.773, 66, 21028, 24576, 68, 307.76
2026/04/22 03:11:39.773, 61, 21028, 24576, 69, 309.43
2026/04/22 03:11:40.773, 61, 21028, 24576, 69, 309.31
2026/04/22 03:11:41.774, 62, 21028, 24576, 70, 307.58
2026/04/22 03:11:42.774, 62, 21028, 24576, 70, 315.15
2026/04/22 03:11:43.774, 61, 21028, 24576, 68, 310.68
2026/04/22 03:11:44.775, 65, 21028, 24576, 69, 312.03
2026/04/22 03:11:45.776, 66, 21028, 24576, 68, 310.19
2026/04/22 03:11:46.777, 65, 21028, 24576, 69, 308.46
2026/04/22 03:11:47.777, 62, 21028, 24576, 69, 312.72
2026/04/22 03:11:48.777, 61, 21028, 24576, 69, 310.03
2026/04/22 03:11:49.777, 61, 21028, 24576, 69, 308.00
2026/04/22 03:11:50.778, 61, 21028, 24576, 68, 309.89
2026/04/22 03:11:51.778, 63, 21028, 24576, 69, 310.61
2026/04/22 03:11:52.779, 66, 21028, 24576, 68, 308.90
2026/04/22 03:11:53.779, 65, 21028, 24576, 69, 312.11
2026/04/22 03:11:54.780, 62, 21028, 24576, 69, 307.86
2026/04/22 03:11:55.780, 61, 21028, 24576, 70, 306.67
2026/04/22 03:11:56.781, 62, 21028, 24576, 68, 307.16
2026/04/22 03:11:57.781, 62, 21028, 24576, 69, 309.96
2026/04/22 03:11:58.781, 62, 21028, 24576, 68, 307.10
2026/04/22 03:11:59.781, 65, 21028, 24576, 68, 311.41
2026/04/22 03:12:00.782, 60, 21028, 24576, 68, 308.38
2026/04/22 03:12:01.783, 64, 21028, 24576, 69, 307.56
2026/04/22 03:12:02.784, 64, 21028, 24576, 69, 307.59
2026/04/22 03:12:03.784, 64, 21028, 24576, 69, 310.82
2026/04/22 03:12:04.784, 63, 21028, 24576, 68, 305.56
2026/04/22 03:12:05.784, 62, 21028, 24576, 68, 308.56
2026/04/22 03:12:06.785, 62, 21028, 24576, 68, 308.58
2026/04/22 03:12:07.785, 64, 21028, 24576, 69, 308.47
2026/04/22 03:12:08.786, 64, 21028, 24576, 69, 305.11
2026/04/22 03:12:09.786, 64, 21028, 24576, 70, 307.74
2026/04/22 03:12:10.786, 64, 21028, 24576, 68, 308.33
2026/04/22 03:12:11.786, 62, 21028, 24576, 68, 311.55
2026/04/22 03:12:12.787, 64, 21028, 24576, 68, 306.78
2026/04/22 03:12:13.787, 55, 21028, 24576, 68, 300.88
2026/04/22 03:12:14.787, 62, 21028, 24576, 68, 303.01
2026/04/22 03:12:15.787, 63, 21028, 24576, 68, 308.21
2026/04/22 03:12:16.788, 63, 21028, 24576, 69, 303.92
2026/04/22 03:12:17.788, 62, 21028, 24576, 68, 307.06
2026/04/22 03:12:18.789, 63, 21028, 24576, 69, 304.65
2026/04/22 03:12:19.789, 61, 21028, 24576, 69, 305.74
2026/04/22 03:12:20.789, 62, 21028, 24576, 68, 309.24
2026/04/22 03:12:21.789, 62, 21028, 24576, 69, 308.87
