timestamp,gpu_util_pct,mem_used_mb,mem_total_mb,temp_c,power_w
2026/04/22 03:03:59.440, 0, 1, 24576, 53, 146.19
2026/04/22 03:04:00.444, 0, 1, 24576, 50, 127.54
2026/04/22 03:04:01.444, 0, 4, 24576, 48, 79.09
2026/04/22 03:04:02.445, 0, 7432, 24576, 49, 89.50
2026/04/22 03:04:03.445, 27, 9692, 24576, 51, 143.20
2026/04/22 03:04:04.445, 100, 9692, 24576, 64, 281.98
2026/04/22 03:04:05.445, 100, 9692, 24576, 66, 348.55
2026/04/22 03:04:06.446, 100, 9692, 24576, 67, 348.49
2026/04/22 03:04:07.446, 100, 9692, 24576, 67, 349.35
2026/04/22 03:04:08.446, 100, 9692, 24576, 67, 348.79
2026/04/22 03:04:09.447, 100, 9692, 24576, 67, 349.06
2026/04/22 03:04:10.447, 100, 9692, 24576, 68, 348.89
2026/04/22 03:04:11.447, 100, 9692, 24576, 68, 348.88
2026/04/22 03:04:12.447, 100, 9692, 24576, 68, 348.74
2026/04/22 03:04:13.448, 100, 9696, 24576, 68, 349.17
2026/04/22 03:04:14.448, 88, 9696, 24576, 68, 346.96
2026/04/22 03:04:15.448, 87, 9696, 24576, 68, 348.95
2026/04/22 03:04:16.448, 91, 9696, 24576, 68, 349.63
2026/04/22 03:04:17.448, 86, 9696, 24576, 68, 348.05
2026/04/22 03:04:18.449, 86, 9696, 24576, 68, 348.34
2026/04/22 03:04:19.449, 92, 9696, 24576, 68, 348.73
2026/04/22 03:04:20.449, 93, 9696, 24576, 69, 349.15
2026/04/22 03:04:21.449, 88, 9696, 24576, 69, 348.62
