timestamp,gpu_util_pct,mem_used_mb,mem_total_mb,temp_c,power_w
2026/04/22 03:05:23.870, 0, 1, 15360, 55, 36.33
2026/04/22 03:05:24.875, 0, 1, 15360, 54, 28.04
2026/04/22 03:05:25.883, 0, 3, 15360, 54, 27.56
2026/04/22 03:05:26.888, 65, 6053, 15360, 54, 32.17
2026/04/22 03:05:27.893, 0, 6053, 15360, 54, 36.33
2026/04/22 03:05:28.897, 0, 11939, 15360, 55, 36.52
2026/04/22 03:05:29.901, 100, 11939, 15360, 56, 70.52
2026/04/22 03:05:30.905, 100, 11939, 15360, 57, 67.20
2026/04/22 03:05:31.910, 100, 11939, 15360, 57, 68.98
2026/04/22 03:05:32.915, 100, 11939, 15360, 58, 66.43
2026/04/22 03:05:33.928, 100, 11939, 15360, 59, 67.29
2026/04/22 03:05:34.932, 93, 11939, 15360, 59, 68.60
2026/04/22 03:05:35.938, 86, 11939, 15360, 60, 64.66
2026/04/22 03:05:36.942, 80, 11939, 15360, 60, 69.85
2026/04/22 03:05:37.946, 100, 11939, 15360, 60, 68.21
2026/04/22 03:05:38.951, 100, 11939, 15360, 61, 68.69
2026/04/22 03:05:39.956, 100, 11939, 15360, 61, 67.68
2026/04/22 03:05:40.961, 82, 11939, 15360, 62, 66.14
2026/04/22 03:05:41.965, 81, 11939, 15360, 62, 61.97
2026/04/22 03:05:42.970, 100, 11939, 15360, 62, 65.41
2026/04/22 03:05:43.974, 100, 11939, 15360, 63, 67.20
2026/04/22 03:05:44.979, 87, 11939, 15360, 63, 92.65
2026/04/22 03:05:45.984, 81, 11939, 15360, 63, 68.45
2026/04/22 03:05:46.988, 100, 11939, 15360, 64, 64.54
2026/04/22 03:05:47.993, 100, 11939, 15360, 64, 65.75
2026/04/22 03:05:48.998, 85, 11939, 15360, 64, 67.41
2026/04/22 03:05:50.009, 100, 11939, 15360, 64, 67.11
2026/04/22 03:05:51.015, 100, 11939, 15360, 64, 69.62
2026/04/22 03:05:52.020, 79, 11939, 15360, 64, 64.62
2026/04/22 03:05:53.024, 100, 11939, 15360, 64, 68.95
2026/04/22 03:05:54.030, 100, 11939, 15360, 63, 68.08
2026/04/22 03:05:55.038, 89, 11939, 15360, 63, 66.35
2026/04/22 03:05:56.046, 100, 11939, 15360, 62, 65.73
2026/04/22 03:05:57.057, 100, 11939, 15360, 62, 65.96
2026/04/22 03:05:58.063, 89, 11939, 15360, 62, 63.50
2026/04/22 03:05:59.067, 100, 11939, 15360, 62, 66.59
2026/04/22 03:06:00.072, 96, 11939, 15360, 61, 66.98
2026/04/22 03:06:01.077, 75, 11939, 15360, 61, 71.21
2026/04/22 03:06:02.088, 100, 11939, 15360, 61, 68.85
2026/04/22 03:06:03.096, 89, 11939, 15360, 61, 62.45
2026/04/22 03:06:04.100, 100, 11939, 15360, 60, 65.92
2026/04/22 03:06:05.105, 100, 11939, 15360, 60, 67.89
2026/04/22 03:06:06.109, 100, 11939, 15360, 60, 44.37
2026/04/22 03:06:07.119, 100, 11939, 15360, 60, 69.04
2026/04/22 03:06:08.131, 90, 11939, 15360, 59, 62.16
2026/04/22 03:06:09.141, 100, 11939, 15360, 59, 69.08
2026/04/22 03:06:10.150, 86, 11939, 15360, 59, 67.64
2026/04/22 03:06:11.161, 94, 11939, 15360, 59, 67.68
2026/04/22 03:06:12.172, 100, 11939, 15360, 60, 68.60
2026/04/22 03:06:13.181, 89, 11939, 15360, 60, 56.56
2026/04/22 03:06:14.192, 100, 11939, 15360, 60, 65.85
2026/04/22 03:06:15.198, 90, 11939, 15360, 61, 69.89
2026/04/22 03:06:16.203, 100, 11939, 15360, 61, 65.27
2026/04/22 03:06:17.208, 90, 11939, 15360, 62, 58.84
2026/04/22 03:06:18.215, 100, 11939, 15360, 61, 67.68
2026/04/22 03:06:19.220, 89, 11939, 15360, 62, 61.31
2026/04/22 03:06:20.225, 100, 11939, 15360, 62, 65.08
2026/04/22 03:06:21.230, 92, 11939, 15360, 62, 69.90
2026/04/22 03:06:22.235, 100, 11939, 15360, 63, 67.78
2026/04/22 03:06:23.244, 95, 11939, 15360, 63, 65.51
2026/04/22 03:06:24.254, 100, 11939, 15360, 64, 68.12
2026/04/22 03:06:25.265, 87, 11939, 15360, 64, 68.89
2026/04/22 03:06:26.270, 100, 11939, 15360, 64, 71.44
2026/04/22 03:06:27.275, 85, 11939, 15360, 65, 64.79
2026/04/22 03:06:28.283, 100, 11939, 15360, 65, 68.89
2026/04/22 03:06:29.288, 96, 11939, 15360, 65, 65.32
2026/04/22 03:06:30.292, 100, 11939, 15360, 66, 68.93
2026/04/22 03:06:31.303, 90, 11939, 15360, 66, 63.43
2026/04/22 03:06:32.307, 100, 11939, 15360, 66, 68.02
2026/04/22 03:06:33.312, 90, 11939, 15360, 67, 73.22
2026/04/22 03:06:34.323, 100, 11939, 15360, 67, 66.29
2026/04/22 03:06:35.333, 77, 11939, 15360, 67, 43.80
2026/04/22 03:06:36.345, 100, 11939, 15360, 68, 68.60
2026/04/22 03:06:37.352, 83, 11939, 15360, 69, 61.70
2026/04/22 03:06:38.356, 100, 11939, 15360, 68, 65.66
2026/04/22 03:06:39.361, 67, 11939, 15360, 68, 49.23
2026/04/22 03:06:40.372, 100, 11939, 15360, 68, 68.80
2026/04/22 03:06:41.383, 100, 11939, 15360, 68, 64.19
2026/04/22 03:06:42.387, 99, 11939, 15360, 68, 67.32
2026/04/22 03:06:43.392, 100, 11939, 15360, 67, 70.15
2026/04/22 03:06:44.398, 90, 11939, 15360, 67, 46.12
2026/04/22 03:06:45.408, 100, 11939, 15360, 66, 67.89
2026/04/22 03:06:46.416, 91, 11939, 15360, 66, 58.16
2026/04/22 03:06:47.427, 100, 11939, 15360, 66, 66.50
2026/04/22 03:06:48.433, 54, 11939, 15360, 65, 78.25
2026/04/22 03:06:49.443, 100, 11939, 15360, 65, 68.28
2026/04/22 03:06:50.453, 100, 11939, 15360, 64, 68.37
2026/04/22 03:06:51.463, 99, 11939, 15360, 64, 66.11
2026/04/22 03:06:52.474, 100, 11939, 15360, 64, 68.08
2026/04/22 03:06:53.479, 91, 11939, 15360, 64, 64.90
2026/04/22 03:06:54.483, 100, 11939, 15360, 63, 66.50
2026/04/22 03:06:55.488, 91, 11939, 15360, 62, 84.06
2026/04/22 03:06:56.496, 100, 11939, 15360, 62, 64.96
2026/04/22 03:06:57.503, 54, 11939, 15360, 62, 89.10
2026/04/22 03:06:58.508, 100, 11939, 15360, 62, 70.10
2026/04/22 03:06:59.512, 100, 11939, 15360, 62, 70.14
