timestamp,gpu_util_pct,mem_used_mb,mem_total_mb,temp_c,power_w
2026/04/20 12:26:49.789, 0, 0, 16311, 42, 24.76
2026/04/20 12:26:50.793, 0, 1, 16311, 42, 22.08
2026/04/20 12:26:51.793, 0, 3, 16311, 40, 7.68
2026/04/20 12:26:52.793, 0, 3, 16311, 40, 7.56
2026/04/20 12:26:53.794, 64, 7131, 16311, 40, 11.37
2026/04/20 12:26:54.794, 0, 7131, 16311, 41, 26.24
2026/04/20 12:26:55.795, 0, 7131, 16311, 41, 23.95
2026/04/20 12:26:56.795, 1, 12575, 16311, 41, 21.66
2026/04/20 12:26:57.795, 74, 12575, 16311, 46, 42.29
2026/04/20 12:26:58.796, 76, 12575, 16311, 62, 108.51
2026/04/20 12:26:59.796, 100, 12575, 16311, 49, 77.11
2026/04/20 12:27:00.796, 71, 12575, 16311, 47, 103.15
2026/04/20 12:27:01.797, 74, 12575, 16311, 64, 106.44
2026/04/20 12:27:02.797, 100, 12575, 16311, 48, 88.56
2026/04/20 12:27:03.797, 74, 12575, 16311, 48, 101.39
2026/04/20 12:27:04.798, 73, 12575, 16311, 53, 112.26
2026/04/20 12:27:05.798, 100, 12575, 16311, 50, 91.60
2026/04/20 12:27:06.799, 75, 12575, 16311, 51, 99.46
2026/04/20 12:27:07.799, 74, 12575, 16311, 54, 109.84
2026/04/20 12:27:08.799, 100, 12575, 16311, 48, 92.31
2026/04/20 12:27:09.800, 76, 12575, 16311, 52, 102.18
2026/04/20 12:27:10.800, 73, 12575, 16311, 65, 115.37
2026/04/20 12:27:11.800, 100, 12575, 16311, 50, 82.66
2026/04/20 12:27:12.801, 73, 12575, 16311, 51, 111.55
2026/04/20 12:27:13.801, 100, 12575, 16311, 55, 95.34
2026/04/20 12:27:14.802, 73, 12575, 16311, 49, 102.75
2026/04/20 12:27:15.802, 73, 12575, 16311, 50, 113.23
2026/04/20 12:27:16.802, 95, 12575, 16311, 65, 74.24
2026/04/20 12:27:17.803, 73, 12575, 16311, 50, 114.78
2026/04/20 12:27:18.803, 89, 12575, 16311, 51, 110.87
2026/04/20 12:27:19.803, 74, 12575, 16311, 50, 93.06
2026/04/20 12:27:20.804, 74, 12575, 16311, 50, 117.04
2026/04/20 12:27:21.804, 100, 12575, 16311, 65, 75.75
2026/04/20 12:27:22.805, 73, 12575, 16311, 51, 121.57
2026/04/20 12:27:23.805, 100, 12575, 16311, 54, 105.97
2026/04/20 12:27:24.805, 77, 12575, 16311, 53, 90.86
2026/04/20 12:27:25.806, 74, 12575, 16311, 52, 120.02
2026/04/20 12:27:26.806, 72, 12575, 16311, 62, 76.14
2026/04/20 12:27:27.807, 76, 12575, 16311, 51, 125.17
2026/04/20 12:27:28.807, 100, 12575, 16311, 66, 84.19
2026/04/20 12:27:29.807, 74, 12575, 16311, 51, 119.62
2026/04/20 12:27:30.808, 100, 12575, 16311, 58, 103.92
2026/04/20 12:27:31.808, 73, 12575, 16311, 51, 106.80
2026/04/20 12:27:32.808, 63, 12575, 16311, 53, 125.26
2026/04/20 12:27:33.809, 75, 12575, 16311, 52, 91.74
2026/04/20 12:27:34.809, 73, 12575, 16311, 51, 129.93
2026/04/20 12:27:35.809, 77, 12575, 16311, 52, 78.46
2026/04/20 12:27:36.810, 75, 12575, 16311, 52, 126.44
2026/04/20 12:27:37.810, 74, 12575, 16311, 54, 78.86
2026/04/20 12:27:38.810, 77, 12575, 16311, 53, 131.92
2026/04/20 12:27:39.811, 75, 12575, 16311, 61, 79.56
2026/04/20 12:27:40.811, 72, 12575, 16311, 54, 132.70
2026/04/20 12:27:41.812, 76, 12575, 16311, 62, 79.56
2026/04/20 12:27:42.812, 75, 12575, 16311, 51, 134.04
2026/04/20 12:27:43.812, 74, 12575, 16311, 63, 79.23
2026/04/20 12:27:44.812, 76, 12575, 16311, 52, 129.55
2026/04/20 12:27:45.813, 76, 12575, 16311, 63, 80.22
2026/04/20 12:27:46.813, 75, 12575, 16311, 51, 130.30
2026/04/20 12:27:47.813, 75, 12575, 16311, 58, 79.86
2026/04/20 12:27:48.814, 76, 12575, 16311, 54, 130.97
2026/04/20 12:27:49.814, 77, 12575, 16311, 51, 80.16
2026/04/20 12:27:50.814, 76, 12575, 16311, 53, 132.18
2026/04/20 12:27:51.815, 75, 12575, 16311, 54, 80.35
2026/04/20 12:27:52.815, 77, 12575, 16311, 56, 138.82
2026/04/20 12:27:53.815, 75, 12575, 16311, 52, 83.95
2026/04/20 12:27:54.816, 79, 12575, 16311, 53, 128.24
2026/04/20 12:27:55.816, 76, 12575, 16311, 54, 86.65
2026/04/20 12:27:56.816, 100, 12575, 16311, 63, 115.86
2026/04/20 12:27:57.817, 74, 12575, 16311, 54, 109.08
2026/04/20 12:27:58.817, 100, 12575, 16311, 66, 103.43
2026/04/20 12:27:59.817, 74, 12575, 16311, 52, 124.05
2026/04/20 12:28:00.818, 100, 12575, 16311, 66, 84.86
2026/04/20 12:28:01.818, 77, 12575, 16311, 55, 136.16
2026/04/20 12:28:02.818, 76, 12575, 16311, 64, 81.71
2026/04/20 12:28:03.819, 79, 12575, 16311, 56, 142.09
2026/04/20 12:28:04.819, 74, 12575, 16311, 55, 81.31
2026/04/20 12:28:05.819, 39, 12575, 16311, 55, 141.54
2026/04/20 12:28:06.820, 77, 12575, 16311, 52, 82.07
2026/04/20 12:28:07.820, 100, 12575, 16311, 67, 113.92
